G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,-57.00770175,4.333090734,52.67461102,0.14379536,-0.581677398,0.437882038
0,0,0,0,-56.56120602,3.340292035,53.22091399,0.153022462,-0.584268169,0.431245707
0,0,0,0,-56.10080625,2.346757275,53.75404897,0.162211755,-0.586714868,0.424503113
0,0,0,0,-55.62643156,1.35321328,54.27321828,0.171360734,-0.589015966,0.417655232
0,0,0,0,-55.13837065,0.359233521,54.77913713,0.180467537,-0.591172095,0.410704559
0,0,0,0,-54.6366765,-0.634817906,55.27149441,0.189529872,-0.593182472,0.4036526
0,0,0,0,-54.12163521,-1.628827019,55.75046223,0.198545477,-0.595046913,0.396501436
0,0,0,0,-53.59336597,-2.622438586,56.21580455,0.207512047,-0.596764774,0.389252727
0,0,0,0,-53.05199467,-3.615432136,56.66742681,0.216427391,-0.598335643,0.381908252
0,0,0,0,-52.49764936,-4.60759082,57.10524018,0.225289336,-0.599759171,0.374469834
0,0,0,0,-51.93048857,-5.598698666,57.52918723,0.234095699,-0.601035043,0.366939343
0,0,0,0,-51.35066454,-6.588499373,57.93916391,0.242844289,-0.602162933,0.359318644
0,0,0,0,-50.75828658,-7.576749043,58.33503563,0.25153297,-0.603142514,0.351609544
0,0,0,0,-50.15346635,-8.563264844,58.7167312,0.260159672,-0.60397361,0.343813938
0,0,0,0,-49.53635459,-9.54782665,59.08418124,0.268722278,-0.60465603,0.335933752
0,0,0,0,-48.90713054,-10.53016788,59.43729842,0.277218634,-0.605189587,0.327970953
0,0,0,0,-48.2659513,-11.50999794,59.77594924,0.285646601,-0.605574055,0.319927455
0,0,0,0,-47.61296302,-12.48706382,60.10002684,0.2940041,-0.605809314,0.311805214
0,0,0,0,-46.9483173,-13.46112981,60.40944711,0.302289079,-0.60589529,0.303606211
0,0,0,0,-46.27218261,-14.43196575,60.70414836,0.310499497,-0.605831982,0.295332486
0,0,0,0,-45.58471818,-15.39932345,60.98404163,0.318633324,-0.605619372,0.286986048
0,0,0,0,-44.88607387,-16.36297592,61.24904978,0.326688579,-0.605257517,0.278568938
0,0,0,0,-44.17640215,-17.3227017,61.49910384,0.334663296,-0.604746502,0.270083205
0,0,0,0,-43.45588073,-18.27827208,61.73415281,0.342555513,-0.604086469,0.261530956
0,0,0,0,-42.72469543,-19.22942543,61.95412087,0.35036325,-0.603277535,0.252914285
0,0,0,0,-41.98302919,-20.17590267,62.15893186,0.358084561,-0.602319867,0.244235306
0,0,0,0,-41.23105603,-21.11745457,62.34851059,0.365717533,-0.60121366,0.235496127
0,0,0,0,-40.468957,-22.05385386,62.52281086,0.373260291,-0.599959197,0.226698906
0,0,0,0,-39.69691563,-22.98486866,62.68178429,0.380710973,-0.598556774,0.217845801
0,0,0,0,-38.91511628,-23.91027288,62.82538916,0.388067749,-0.597006742,0.208938993
0,0,0,0,-38.12373798,-24.82984014,62.95357811,0.395328814,-0.59530947,0.199980656
0,0,0,0,-37.32296878,-25.74335265,63.06632143,0.402492387,-0.593465389,0.190973001
0,0,0,0,-36.51300602,-26.65057816,63.16358418,0.409556694,-0.591474936,0.181918242
0,0,0,0,-35.69405541,-27.55127919,63.24533461,0.416519977,-0.589338591,0.172818614
0,0,0,0,-34.86631838,-28.44521347,63.31153185,0.423380499,-0.587056845,0.163676346
0,0,0,0,-34.02999644,-29.33215491,63.36215135,0.430136567,-0.584630256,0.154493689
0,0,0,0,-33.18529077,-30.21188239,63.39717316,0.436786515,-0.582059412,0.145272897
0,0,0,0,-32.33240713,-31.08418351,63.41659064,0.443328708,-0.579344957,0.136016249
0,0,0,0,-31.47154944,-31.94884281,63.42039225,0.449761535,-0.576487554,0.126726019
0,0,0,0,-30.6029247,-32.80565196,63.40857666,0.456083417,-0.573487915,0.117404499
0,0,0,0,-29.72674309,-33.65439811,63.3811412,0.462292794,-0.570346774,0.10805398
0,0,0,0,-28.84322335,-34.4948684,63.33809175,0.468388131,-0.567064906,0.098676776
0,0,0,0,-27.95258567,-35.3268423,63.27942797,0.474367909,-0.563643102,0.089275193
0,0,0,0,-27.05505145,-36.15010635,63.2051578,0.480230646,-0.560082197,0.079851551
0,0,0,0,-26.15083955,-36.96445119,63.11529075,0.485974893,-0.55638306,0.070408167
0,0,0,0,-25.24017139,-37.76967868,63.00985007,0.491599235,-0.55254661,0.060947375
0,0,0,0,-24.32326822,-38.56559097,62.88885919,0.497102288,-0.548573793,0.051471505
0,0,0,0,-23.40035395,-39.35199593,62.75234988,0.5024827,-0.544465598,0.041982898
0,0,0,0,-22.47165292,-40.12869941,62.60035234,0.507739144,-0.540223035,0.03248389
0,0,0,0,-21.53739464,-40.8955105,62.43290515,0.512870325,-0.535847155,0.022976831
0,0,0,0,-20.59781095,-41.65223377,62.25004471,0.517874969,-0.531339032,0.013464063
0,0,0,0,-19.65313679,-42.3986772,62.05181399,0.522751835,-0.526699773,0.003947938
0,0,0,0,-18.70360555,-43.13464979,61.83825534,0.527499715,-0.521930514,-0.005569201
0,0,0,0,-17.74945149,-43.85996991,61.60942141,0.532117438,-0.517032436,-0.015085002
0,0,0,0,-16.79090807,-44.57445893,61.365367,0.536603865,-0.512006746,-0.02459712
0,0,0,0,-15.82821089,-45.27794476,61.10615565,0.540957895,-0.506854693,-0.034103203
0,0,0,0,-14.86159555,-45.97025484,60.83185039,0.545178455,-0.501577549,-0.043600907
0,0,0,0,-13.89130053,-46.6512206,60.54252113,0.549264506,-0.496176622,-0.053087884
0,0,0,0,-12.91756555,-47.32067166,60.23823721,0.553215036,-0.490653241,-0.062561795
0,0,0,0,-11.94063339,-47.97844085,59.91907424,0.557029069,-0.485008771,-0.072020298
0,0,0,0,-10.96074651,-48.62436089,59.5851074,0.560705658,-0.479244598,-0.08146106
0,0,0,0,-9.978148038,-49.25827119,59.23641923,0.564243895,-0.473362146,-0.090881749
0,0,0,0,-8.993079749,-49.88001445,58.8730942,0.567642906,-0.467362865,-0.100280041
0,0,0,0,-8.005784452,-50.48944043,58.49522489,0.570901855,-0.461248241,-0.109653614
0,0,0,0,-7.016504578,-51.08640035,58.10290493,0.574019942,-0.455019786,-0.119000156
0,0,0,0,-6.025484276,-51.6707498,57.69623407,0.576996398,-0.448679042,-0.128317356
0,0,0,0,-5.032967963,-52.24234421,57.27531217,0.57983049,-0.442227574,-0.137602916
0,0,0,0,-4.039202103,-52.80104255,56.84024466,0.582521516,-0.435666975,-0.146854541
0,0,0,0,-3.044433132,-53.34670409,56.39113722,0.58506881,-0.428998862,-0.156069948
0,0,0,0,-2.048908248,-53.87919314,55.92810139,0.587471742,-0.422224879,-0.165246862
0,0,0,0,-1.052873319,-54.39837678,55.4512501,0.589729716,-0.415346698,-0.174383018
0,0,0,0,-0.056574371,-54.90412868,54.96070305,0.591842179,-0.408366019,-0.18347616
0,0,0,0,0.939743527,-55.39632527,54.45658175,0.593808609,-0.401284565,-0.192524044
0,0,0,0,1.93583453,-55.87484796,53.93901343,0.595628525,-0.39410409,-0.201524436
0,0,0,0,2.931453157,-56.33957927,53.40812612,0.597301478,-0.386826365,-0.210475113
0,0,0,0,3.926352875,-56.79040553,52.86405265,0.598827055,-0.37945319,-0.219373865
0,0,0,0,4.920287493,-57.22721406,52.30692657,0.600204878,-0.371986381,-0.228218497
0,0,0,0,5.913010322,-57.64989659,51.73688627,0.601434606,-0.364427782,-0.237006824
0,0,0,0,6.904275864,-58.05834731,51.15407145,0.602515934,-0.356779256,-0.245736679
0,0,0,0,7.893838958,-58.45246617,50.55862721,0.603448596,-0.349042692,-0.254405904
0,0,0,0,8.881455855,-58.83215638,49.95070053,0.604232362,-0.341219999,-0.263012363
0,0,0,0,9.866882906,-59.19732652,49.33044361,0.604867041,-0.333313112,-0.271553929
0,0,0,0,10.84987739,-59.54788734,48.69800995,0.605352477,-0.325323982,-0.280028495
0,0,0,0,11.83019636,-59.88375372,48.05355735,0.605688551,-0.317254582,-0.288433969
0,0,0,0,12.8075977,-60.20484225,47.39724455,0.60587518,-0.309106904,-0.296768276
0,0,0,0,13.78183927,-60.51107365,46.72923437,0.605912317,-0.300882957,-0.30502936
0,0,0,0,14.75268023,-60.80237113,46.0496909,0.605799951,-0.29258477,-0.313215181
0,0,0,0,15.71988038,-61.07866299,45.35878261,0.60553811,-0.284214391,-0.321323719
0,0,0,0,16.68320125,-61.33988091,44.65667966,0.605126859,-0.275773884,-0.329352975
0,0,0,0,17.64240515,-61.58596187,43.94355671,0.6045663,-0.267265335,-0.337300965
0,0,0,0,18.59725588,-61.81684583,43.21958995,0.603856572,-0.258690842,-0.34516573
0,0,0,0,19.54751774,-62.03247718,42.48495943,0.602997852,-0.250052525,-0.352945327
0,0,0,0,20.49295635,-62.23280264,41.73984629,0.601990352,-0.241352514,-0.360637838
0,0,0,0,21.43333788,-62.41777303,40.98443515,0.600834319,-0.232592955,-0.368241364
0,0,0,0,22.36843005,-62.58734183,40.21891178,0.599530039,-0.22377601,-0.375754028
0,0,0,0,23.29800162,-62.74146714,39.44346552,0.598077832,-0.214903854,-0.383173978
0,0,0,0,24.22182324,-62.88011045,38.65828721,0.596478056,-0.205978675,-0.390499381
0,0,0,0,25.13966692,-63.00323827,37.86357135,0.594731107,-0.197002675,-0.397728432
0,0,0,0,26.05130659,-63.11082057,37.05951397,0.592837417,-0.187978071,-0.404859346
0,0,0,0,26.9565174,-63.20283187,36.24631447,0.590797453,-0.178907089,-0.411890364
0,0,0,0,27.85507623,-63.2792496,35.42417338,0.58861172,-0.169791969,-0.418819751
0,0,0,0,28.74676114,-63.34005531,34.59329417,0.586280756,-0.160634959,-0.425645796
0,0,0,0,29.63135206,-63.38523341,33.75388135,0.583805136,-0.151438319,-0.432366817
0,0,0,0,30.50863036,-63.41477266,32.9061423,0.58118547,-0.142204316,-0.438981154
0,0,0,0,31.37837957,-63.42866519,32.05028562,0.578422405,-0.132935228,-0.445487177
0,0,0,0,32.24038499,-63.42690783,31.18652285,0.575516622,-0.123633344,-0.451883279
0,0,0,0,33.09443421,-63.40950104,30.31506683,0.572468839,-0.114300957,-0.458167882
0,0,0,0,33.94031663,-63.37644984,29.43613321,0.569279808,-0.104940371,-0.464339437
